Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-02-12),Price Override,Watchlist,Date Added,Notes
Gem 2,Pokemon,Gem Pack 2,Eevee (CN),0101/15,Common,Holofoil,Ungraded,Near Mint,0,1,2.46,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (Master Ball Pattern) (CN),0110/15,Common,Holofoil,Ungraded,Near Mint,0,1,2.68,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (Master Ball Pattern) (CN),0109/15,Common,Holofoil,Ungraded,Near Mint,0,1,3.12,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee  (Poke Ball Pattern) (CN),0104/15,Common,Holofoil,Ungraded,Near Mint,0,1,2.06,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee  (Poke Ball Pattern) (CN),0103/15,Common,Holofoil,Ungraded,Near Mint,0,1,2.93,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (Rotary Pattern) (CN),0107/15,Common,Holofoil,Ungraded,Near Mint,0,1,4.31,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (Rotary Pattern) (CN),0108/15,Common,Holofoil,Ungraded,Near Mint,0,1,3.4,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (Stamped) (CN),0112/15,Common,Holofoil,Ungraded,Near Mint,0,1,5.56,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (Stamped) (CN),0111/15,Common,Holofoil,Ungraded,Near Mint,0,1,4.88,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (Stars Pattern) (CN),0105/15,Common,Holofoil,Ungraded,Near Mint,0,1,2.51,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (Stars Pattern) (CN),0106/15,Common,Holofoil,Ungraded,Near Mint,0,1,2.99,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (CN),0514/14,Double Rare,Holofoil,Ungraded,Near Mint,0,1,9.65,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (CN),0502/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.31,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (CN),0501/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.37,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (CN),0513/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.27,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Master Ball Pattern) (CN),0510/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.78,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Master Ball Pattern) (CN),0509/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.87,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Poke Ball Pattern) (CN),0504/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.04,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Poke Ball Pattern) (CN),0503/14,Rare,Holofoil,Ungraded,Near Mint,0,1,1.81,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Rotary Pattern) (CN),0508/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.69,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Rotary Pattern) (CN),0507/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.22,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Stamped) (CN),0511/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.47,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Stamped) (CN),0512/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.73,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Stars Pattern) (CN),0505/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.86,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Espeon (Stars Pattern) (CN),0506/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.59,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (CN),0402/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (CN),0413/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.21,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (CN),0401/14,Rare,Holofoil,Ungraded,Near Mint,0,1,4.15,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (CN),0414/14,Double Rare,Holofoil,Ungraded,Near Mint,0,1,6.53,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Master Ball Pattern) (CN),0410/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.78,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Master Ball Pattern) (CN),0409/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.84,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Poke Ball Pattern) (CN),0403/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.09,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Poke Ball Pattern) (CN),0404/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.38,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Rotary Pattern) (CN),0408/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.21,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Rotary Pattern) (CN),0407/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.94,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Stamped) (CN),0411/14,Rare,Holofoil,Ungraded,Near Mint,0,1,6.55,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Stamped) (CN),0412/14,Rare,Holofoil,Ungraded,Near Mint,0,1,5.76,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Stars Pattern) (CN),0405/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.22,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Flareon (Stars Pattern) (CN),0406/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.75,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (CN),0813/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.42,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (CN),0801/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.51,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (CN),0814/14,Double Rare,Holofoil,Ungraded,Near Mint,0,1,8.28,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (CN),0802/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.81,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Master Ball Pattern) (CN),0809/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.48,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Master Ball Pattern) (CN),0810/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.63,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Poke Ball Pattern) (CN),0803/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.12,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Poke Ball Pattern) (CN),0804/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.86,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Rotary Pattern) (CN),0808/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.2,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Rotary Pattern) (CN),0807/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.07,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Stamped) (CN),0811/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.6,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Stamped) (CN),0812/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.15,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Stars Pattern) (CN),0806/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.3,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Glaceon (Stars Pattern) (CN),0805/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.65,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (CN),0301/14,Rare,Holofoil,Ungraded,Near Mint,0,1,1.95,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (CN),0302/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.06,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (CN),0313/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.7,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (CN),0314/14,Double Rare,Holofoil,Ungraded,Near Mint,0,1,7.86,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (Master Ball Pattern) (CN),0309/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.88,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (Master Ball Pattern) (CN),0310/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.41,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon  (Poke Ball Pattern) (CN),0303/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.48,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon  (Poke Ball Pattern) (CN),0304/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.41,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (Rotary Pattern) (CN),0308/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.46,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (Rotary Pattern) (CN),0307/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.59,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (Stamped) (CN),0311/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.84,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (Stamped) (CN),0312/14,Rare,Holofoil,Ungraded,Near Mint,0,1,4.91,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (Stars Pattern) (CN),0306/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.08,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Jolteon (Stars Pattern) (CN),0305/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.15,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (CN),0702/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.42,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (CN),0714/15,Double Rare,Holofoil,Ungraded,Near Mint,0,1,8.12,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (CN),0713/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.88,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (CN),0701/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.37,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Master Ball Pattern) (CN),0710/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.37,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Master Ball Pattern) (CN),0709/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.63,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Poke Ball Pattern) (CN),0704/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.09,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Poke Ball Pattern) (CN),0703/15,Rare,Holofoil,Ungraded,Near Mint,0,1,1.81,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Rotary Pattern) (CN),0707/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.58,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Rotary Pattern) (CN),0708/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.19,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Stamped) (CN),0712/15,Rare,Holofoil,Ungraded,Near Mint,0,1,5.96,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Stamped) (CN),0711/15,Rare,Holofoil,Ungraded,Near Mint,0,1,4.71,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Stars Pattern) (CN),0706/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.69,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Leafeon (Stars Pattern) (CN),0705/15,Rare,Holofoil,Ungraded,Near Mint,0,1,1.93,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Lightning Energy (CN),1101/06,Rare,Holofoil,Ungraded,Near Mint,0,1,8.98,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Penny (CN),1004/04,Secret Art Rare,Holofoil,Ungraded,Near Mint,0,1,19.25,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Pokeball (CN),1002/04,Rare,Holofoil,Ungraded,Near Mint,0,1,5.6,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Pokeball (CN),1001/04,Rare,Holofoil,Ungraded,Near Mint,0,1,4.38,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Pokeball (Stamped) (CN),1003/04,Rare,Holofoil,Ungraded,Near Mint,0,1,4.21,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Psychic Energy (CN),1102/06,Rare,Holofoil,Ungraded,Near Mint,0,1,12.01,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (CN),0914/15,Double Rare,Holofoil,Ungraded,Near Mint,0,1,8.26,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (CN),0913/15,Rare,Holofoil,Ungraded,Near Mint,0,1,3.86,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (CN),0902/15,Rare,Holofoil,Ungraded,Near Mint,0,1,4.63,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (CN),0901/15,Rare,Holofoil,Ungraded,Near Mint,0,1,3.43,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Master Ball Pattern) (CN),0909/15,Rare,Holofoil,Ungraded,Near Mint,0,1,5.64,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Master Ball Pattern) (CN),0910/15,Rare,Holofoil,Ungraded,Near Mint,0,1,3.35,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Poke Ball Pattern) (CN),0904/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.69,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Poke Ball Pattern) (CN),0903/15,Rare,Holofoil,Ungraded,Near Mint,0,1,9.97,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Rotary Pattern) (CN),0908/15,Rare,Holofoil,Ungraded,Near Mint,0,1,1.75,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Rotary Pattern) (CN),0907/15,Rare,Holofoil,Ungraded,Near Mint,0,1,4.56,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Stamped) (CN),0912/15,Rare,Holofoil,Ungraded,Near Mint,0,1,4.76,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Stamped) (CN),0911/15,Rare,Holofoil,Ungraded,Near Mint,0,1,8.81,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Stars Pattern) (CN),0905/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.49,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Sylveon (Stars Pattern) (CN),0906/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.79,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (CN),0602/15,Rare,Holofoil,Ungraded,Near Mint,0,1,4.66,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (CN),0601/15,Rare,Holofoil,Ungraded,Near Mint,0,1,4.38,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (CN),0613/15,Rare,Holofoil,Ungraded,Near Mint,0,1,3.48,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (CN),0614/15,Double Rare,Holofoil,Ungraded,Near Mint,0,1,8.97,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Master Ball Pattern) (CN),0609/15,Rare,Holofoil,Ungraded,Near Mint,0,1,5.24,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Master Ball Pattern) (CN),0610/15,Rare,Holofoil,Ungraded,Near Mint,0,1,5.04,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Poke Ball Pattern) (CN),0604/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.13,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Poke Ball Pattern) (CN),0603/15,Rare,Holofoil,Ungraded,Near Mint,0,1,2.41,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Rotary Pattern) (CN),0607/15,Rare,Holofoil,Ungraded,Near Mint,0,1,4.69,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Rotary Pattern) (CN),0608/15,Rare,Holofoil,Ungraded,Near Mint,0,1,3.33,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Stamped) (CN),0611/15,Rare,Holofoil,Ungraded,Near Mint,0,1,5.32,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Stamped) (CN),0612/15,Rare,Holofoil,Ungraded,Near Mint,0,1,9.96,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Stars Pattern) (CN),0605/15,Rare,Holofoil,Ungraded,Near Mint,0,1,3.05,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Umbreon (Stars Pattern) (CN),0606/15,Rare,Holofoil,Ungraded,Near Mint,0,1,3.92,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (CN),0201/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.1,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (CN),0214/14,Double Rare,Holofoil,Ungraded,Near Mint,0,1,8.75,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (CN),0202/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.46,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (CN),0213/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.47,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Master Ball Pattern) (CN),0210/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.1,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Master Ball Pattern) (CN),0209/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.45,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Poke Ball Pattern) (CN),0203/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.33,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Poke Ball Pattern) (CN),0204/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.46,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Rotary Pattern) (CN),0207/14,Rare,Holofoil,Ungraded,Near Mint,0,1,3.3,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Rotary Pattern) (CN),0208/14,Rare,Holofoil,Ungraded,Near Mint,0,1,1.86,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Stamped) (CN),0211/14,Rare,Holofoil,Ungraded,Near Mint,0,1,4.2,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Stamped) (CN),0212/14,Rare,Holofoil,Ungraded,Near Mint,0,1,4.38,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Stars Pattern) (CN),0206/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.8,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Vaporeon (Stars Pattern) (CN),0205/14,Rare,Holofoil,Ungraded,Near Mint,0,1,2.18,0,false,2026-02-04,
Grading,Pokemon,Black Bolt,N's Plan ,170/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,84.85,0,false,2025-10-26,
Grading,Pokemon,Generations: Radiant Collection,Pikachu (Full Art) ,RC29,Ultra Rare,Holofoil,Ungraded,Near Mint,72.0000,1,117.76,0,false,2025-10-26,
Grading,Pokemon,Mega Evolution,Mega Gardevoir ex ,178/132,Special Illustration Rare,Holofoil,Ungraded,Near Mint,455.0000,1,234.66,0,false,2025-10-26,
Grading,Pokemon,Paldean Fates,Mew ex  ,232/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,750.0000,1,648.36,0,true,2025-10-26,
Grading,Pokemon,Scarlet & Violet Promo,Mewtwo ,052,Promo,Holofoil,Ungraded,Near Mint,24.9999,1,45.9,0,false,2025-10-26,
Grading,Pokemon,Scarlet & Violet Promo JP,Detective Pikachu (JP),098/SV-P,Promo,Holofoil,Ungraded,Near Mint,200.0000,2,179.91,0,false,2025-10-26,
Grading,Pokemon,SV: 151,Charizard ex ,199/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,309.9999,1,381.94,0,false,2025-10-26,
Grading,Pokemon,Triplet Beat,Magikarp (JP),080/073,Secret Rare,Holofoil,Ungraded,Near Mint,100.0001,1,149.82,0,false,2025-10-26,
Grading,Pokemon,Twilight Masquerade,Carmine ,217/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,80.0001,1,76.62,0,false,2025-10-26,
Grading,Pokemon,Unbroken Bonds,Reshiram & Charizard GX ,20,Ultra Rare,Holofoil,Ungraded,Near Mint,50.0000,1,64.33,0,false,2025-10-26,
Grading,Pokemon,Unified Minds,Slowpoke & Psyduck GX ,35/236,Ultra Rare,Holofoil,Ungraded,Near Mint,60.0000,1,106.77,0,false,2025-10-26,
